,trajectory_shift,trajectory_shift,prompt_harmonic_risk,response_harmonic_risk,response_harmonic_risk,black_hole_proximity,black_hole_proximity,safety_score,safety_score
,mean,std,mean,mean,std,mean,min,mean,std
model,,,,,,,,,
base,0.8629998,0.22607179,0.9617663484811783,0.768215,0.049567103,0.48432922872921197,0.2299876383984092,0.2802178870767557,0.050411143024675566
cpo,0.85507464,0.22765134,0.9617663484811783,0.77830774,0.047292612,0.4701145725855319,0.2312149135646645,0.26870370822557893,0.04620798554342634
gpo,0.8798773,0.2394926,0.9617663484811783,0.776149,0.04868285,0.4767681016524078,0.20801168863435593,0.2715278257330203,0.04913387175820441
gpo_clipped,0.8725257,0.22005299,0.9617663484811783,0.77270514,0.057453625,0.47157649251451234,0.17401145576866217,0.27445250258110976,0.05787504711754981
gpo_cpo_init,0.86392,0.21767448,0.9617663484811783,0.7709569,0.0464914,0.4603967243680432,0.2984731317981203,0.275082799139113,0.046495566725637025
gpo_enhanced,0.90158594,0.22195894,0.9617663484811783,0.77187276,0.05055024,0.4743971955943437,0.15242417249415408,0.275566959501985,0.05031661874357174
ppo,0.87063706,0.2320144,0.9617663484811783,0.7673635,0.057019353,0.4810604225010809,0.19948777893601866,0.280742499931764,0.05717455874809918
